System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:16:57:660,1203512718423051,126.0802,3400,60.2049,7177.0731,1993.6314,49.9774,5913.7197,1642.6999,0.0000,0.0049,0.0014,
22:16:58:661,1203515920444281,127.0809,3399,60.4506,7237.5347,2010.4263,50.2767,5964.0056,1656.6682,0.0000,0.0049,0.0014,
22:16:59:662,1203519122442065,128.0815,3399,60.7574,7298.3029,2027.3063,50.5758,6014.5903,1670.7195,0.0000,0.0049,0.0014,
22:17:00:662,1203522324463033,129.0821,3399,61.2866,7359.6008,2044.3335,51.1326,6065.7322,1684.9256,0.0000,0.0049,0.0014,
22:17:01:663,1203525526479499,130.0828,3399,61.0734,7420.6855,2061.3015,50.8458,6116.5875,1699.0521,0.0000,0.0049,0.0014,
22:17:02:664,1203528728657983,131.0834,3399,60.4919,7481.1913,2078.1087,50.2630,6166.8620,1713.0172,0.0000,0.0049,0.0014,
22:17:03:664,1203531930687828,132.0841,3399,60.3392,7541.5420,2094.8728,50.1210,6216.9925,1726.9424,0.0000,0.0049,0.0014,
22:17:04:665,1203535132716683,133.0847,3399,60.7311,7602.2840,2111.7456,50.6170,6267.6185,1741.0051,0.0000,0.0049,0.0014,
22:17:05:665,1203538334737928,134.0853,3399,61.0871,7663.3821,2128.7173,50.8558,6318.4836,1755.1343,0.0000,0.0049,0.0014,
22:17:06:666,1203541536767188,135.0860,3399,61.1417,7724.5352,2145.7042,50.9248,6369.4178,1769.2827,0.0000,0.0049,0.0014,
22:17:07:668,1203544743466885,136.0881,3399,61.0048,7785.6398,2162.6777,50.7880,6420.2889,1783.4136,0.0000,0.0049,0.0014,
22:17:08:669,1203547945485579,137.0887,3399,60.0924,7845.7430,2179.3731,49.8987,6470.1966,1797.2768,0.0000,0.0049,0.0014,
22:17:09:669,1203551147454579,138.0893,3399,60.5886,7906.3423,2196.2062,50.3420,6520.5474,1811.2632,0.0000,0.0049,0.0014,
22:17:10:670,1203554349459065,139.0900,3399,61.2815,7967.6346,2213.2318,51.1304,6571.6868,1825.4686,0.0000,0.0049,0.0014,
22:17:11:671,1203557551498373,140.0906,3438,59.2120,8026.8577,2229.6827,49.1056,6620.8016,1839.1115,0.0000,0.0049,0.0014,
22:17:12:671,1203560753652180,141.0913,3463,58.9953,8085.8662,2246.0739,48.7620,6669.5745,1852.6596,0.0000,0.0049,0.0014,
22:17:13:672,1203563955705870,142.0919,3399,59.8959,8145.7736,2262.7149,49.6410,6719.2250,1866.4514,0.0000,0.0049,0.0014,
22:17:14:673,1203567157724561,143.0925,3399,60.3014,8206.0864,2279.4684,50.0869,6769.3214,1880.3671,0.0000,0.0049,0.0014,
22:17:15:673,1203570359775313,144.0932,3454,60.8715,8266.9697,2296.3805,50.6776,6820.0089,1894.4469,0.0000,0.0049,0.0014,
22:17:16:674,1203573561797172,145.0938,3411,60.0284,8327.0093,2313.0581,49.8521,6869.8702,1908.2973,0.0000,0.0049,0.0014,
22:17:17:675,1203576763984890,146.0945,3470,56.5273,8383.5499,2328.7639,46.3845,6916.2657,1921.1849,0.0000,0.0049,0.0014,
22:17:18:675,1203579966013366,147.0951,3399,56.3477,8439.9080,2344.4189,46.1617,6962.4359,1934.0100,0.0000,0.0049,0.0014,
22:17:19:676,1203583168014521,148.0958,3400,60.1208,8500.0399,2361.1222,49.8616,7012.3066,1947.8630,0.0000,0.0049,0.0014,
22:17:20:677,1203586369988250,149.0964,3399,60.9612,8561.0118,2378.0588,50.8225,7063.1381,1961.9828,0.0000,0.0049,0.0014,
22:17:21:677,1203589572019147,150.0970,3427,60.2366,8621.2595,2394.7943,50.0842,7113.2314,1975.8976,0.0000,0.0049,0.0014,
22:17:22:678,1203592774169818,151.0977,3399,60.5960,8681.8690,2411.6303,50.4725,7163.7151,1989.9209,0.0017,0.0066,0.0018,
22:17:23:678,1203595976198047,152.0983,3399,59.5237,8741.4036,2428.1677,49.2647,7212.9888,2003.6080,0.0000,0.0066,0.0018,
22:17:24:679,1203599178312657,153.0990,3474,58.0478,8799.4637,2444.2955,47.8148,7260.8138,2016.8927,0.0000,0.0066,0.0018,
22:17:25:680,1203602380419580,154.0997,3474,51.1518,8850.6263,2458.5073,40.9974,7301.8198,2028.2833,0.0000,0.0066,0.0018,
22:17:26:680,1203605582410251,155.1003,3546,32.5239,8883.1566,2467.5435,23.3394,7325.1638,2034.7677,0.0000,0.0066,0.0018,
22:17:27:681,1203608784521434,156.1009,3399,43.7205,8926.8860,2479.6906,34.1269,7359.2977,2044.2494,0.0000,0.0066,0.0018,
22:17:28:682,1203611986548125,157.1016,3464,57.3662,8984.2628,2495.6285,47.2859,7406.5923,2057.3868,0.0000,0.0066,0.0018,
22:17:29:682,1203615188586550,158.1022,3406,56.3875,9040.6608,2511.2947,46.2358,7452.8368,2070.2324,0.0000,0.0066,0.0018,
22:17:30:683,1203618390615051,159.1028,3399,57.4757,9098.1472,2527.2631,47.3276,7500.1732,2083.3814,0.0000,0.0066,0.0018,
22:17:31:684,1203621592650202,160.1035,3399,60.3850,9158.5436,2544.0399,50.2061,7550.3887,2097.3302,0.0000,0.0066,0.0018,
22:17:32:684,1203624794693680,161.1041,3399,60.5468,9219.1021,2560.8617,50.4497,7600.8483,2111.3467,0.0000,0.0066,0.0018,
22:17:33:685,1203627996728444,162.1048,3399,60.9935,9280.1068,2577.8074,51.0037,7651.8612,2125.5170,0.0000,0.0066,0.0018,
22:17:34:686,1203631198806245,163.1054,3432,58.2162,9338.3345,2593.9818,48.2861,7700.1569,2138.9325,0.0000,0.0066,0.0018,
22:17:35:686,1203634400790877,164.1060,3399,61.3034,9399.6487,2611.0135,51.3942,7751.5602,2153.2112,0.0000,0.0066,0.0018,
22:17:36:687,1203637602760788,165.1067,3399,60.9595,9460.6191,2627.9498,51.0622,7802.6315,2167.3976,0.0000,0.0066,0.0018,
22:17:37:687,1203640804747586,166.1073,3399,61.0506,9521.6810,2644.9114,51.0586,7853.6995,2181.5832,0.0000,0.0066,0.0018,
22:17:38:688,1203644006804002,167.1079,3399,61.7734,9583.4652,2662.0737,51.8793,7905.5879,2195.9966,0.0000,0.0066,0.0018,
22:17:39:689,1203647208812726,168.1085,3399,60.8157,9644.2921,2678.9700,50.8584,7956.4557,2210.1266,0.0000,0.0066,0.0018,
22:17:40:689,1203650410830896,169.1092,3403,60.5711,9704.8749,2695.7986,50.6077,8007.0732,2224.1870,0.0000,0.0066,0.0018,
22:17:41:690,1203653612846164,170.1098,3399,61.0301,9765.9167,2712.7546,51.0914,8058.1744,2238.3818,0.0000,0.0066,0.0018,
22:17:42:691,1203656814863115,171.1104,3399,61.1218,9827.0497,2729.7360,51.1809,8109.3647,2252.6013,0.0000,0.0066,0.0018,
